,Unnamed: 0,code,symbol,issuer,fund_manager,fund_type,establishment_date,listed_date,stop_date,de_listed_date,benchmark,listed_to_delisted,establishment_to_stop
27,27,32,易方达信用债A,易方达基金管理有限公司,胡剑 纪玲云 ,Bond,2013-04-24,2013-04-24,0000-00-00,0000-00-00,100.0％×中债-信用债总指数,0,0
28,28,33,易方达信用债C,易方达基金管理有限公司,胡剑 纪玲云 ,Bond,2013-04-24,2013-04-24,0000-00-00,0000-00-00,100.0％×中债-信用债总指数,0,0
29,29,37,广发7天债A,广发基金管理有限公司,任爽 温秀娟 ,Bond,2013-06-20,2013-06-20,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后),0,0
30,30,38,广发7天债B,广发基金管理有限公司,任爽 温秀娟 ,Bond,2013-06-20,2013-06-20,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后),0,0
31,31,39,农银低估值,农银汇理基金管理有限公司,张燕 ,Hybrid,2013-03-26,2013-03-26,0000-00-00,0000-00-00,75.0％×沪深300指数+25.0％×中证全债指数,0,0
32,32,41,华夏全球,华夏基金管理有限公司,李湘杰 ,QDII,2007-10-09,2007-10-09,0000-00-00,0000-00-00,100.0％×MSCI资本国际全球指数,0,0
33,33,42,财通ESG100A,财通基金管理有限公司,苏俊杰 吴迪 朱海东 ,Stock,2013-03-22,2013-03-22,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证财通中国可持续发展100(ECPI ESG)指数,0,0
34,34,43,嘉实美国,嘉实基金管理有限公司,张自力 ,QDII,2013-06-14,2013-06-14,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×罗素1000成长指数收益率,0,0
35,35,44,嘉实美国美元现汇,嘉实基金管理有限公司,张自力 ,QDII,2013-06-14,2013-06-14,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×罗素1000成长指数收益率,0,0
36,36,45,工银产业债A,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-03-29,2013-03-29,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.0%,0,0
37,37,46,工银产业债B,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-03-29,2013-03-29,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.0%,0,0
38,38,47,华夏双债A,华夏基金管理有限公司,柳万军 ,Bond,2013-03-14,2013-03-14,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
39,39,48,华夏双债C,华夏基金管理有限公司,柳万军 ,Bond,2013-03-14,2013-03-14,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
40,40,49,中银资源,中银基金管理有限公司,陈学林 ,QDII,2013-03-19,2013-03-19,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×标普全球精选自然资源等权重指数(NTR)(人民币计价),0,0
41,41,50,长盛纯债A,长盛基金管理有限公司,,Bond,2013-03-13,2013-03-13,2018-05-18,2018-05-18,100.0％×中债-综合指数-全价指数,1892,1892
42,42,51,华夏300ETF联接A,华夏基金管理有限公司,张弘弢 赵宗庭 ,Stock,2012-12-25,2012-12-25,0000-00-00,0000-00-00,95.0％×沪深300指数+1.0％,0,0
43,43,52,长盛纯债C,长盛基金管理有限公司,,Bond,2013-03-13,2013-03-13,2018-05-18,2018-05-18,100.0％×中债-综合指数-全价指数,1892,1892
44,44,53,鹏华永诚,鹏华基金管理有限公司,刘涛 ,Bond,2018-12-19,2018-12-19,0000-00-00,0000-00-00,100.0％×中债-总指数,0,0
45,45,54,鹏华增利,鹏华基金管理有限公司,刘太阳 ,Bond,2013-03-13,2013-03-13,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.5%,0,0
46,46,55,广发纳指A现汇,广发基金管理有限公司,刘杰 ,QDII,2015-01-16,2015-01-16,0000-00-00,0000-00-00,100.0％×纳斯达克100指数,0,0
47,47,56,建信消费,建信基金管理有限责任公司,邱宇航 ,Hybrid,2013-06-14,2013-06-14,0000-00-00,0000-00-00,25.0％×中债-总指数+75.0％×沪深300指数,0,0
48,48,57,中银消费,中银基金管理有限公司,钱亚风云 ,Hybrid,2013-04-25,2013-04-25,0000-00-00,0000-00-00,25.0％×上海证券交易所国债指数+75.0％×中证内地消费主题指数,0,0
49,49,58,国联安安泰,国联安基金管理有限公司,林渌 ,Hybrid,2019-06-05,2019-06-05,0000-00-00,0000-00-00,45.0％×上海证券交易所国债指数+55.0％×沪深300指数,0,0
50,50,59,国联安医药A,国联安基金管理有限公司,黄欣 ,Stock,2013-08-21,2013-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证医药100指数,0,0
51,51,60,国联安动态,国联安基金管理有限公司,,Hybrid,2013-06-26,2013-06-26,2017-03-29,2017-03-29,5.0％×活期存款利率(税后)+95.0％×中证股债动态合成期权策略指数,1372,1372
52,52,61,华夏盛世,华夏基金管理有限公司,代瑞亮 王晓李 ,Hybrid,2009-12-11,2009-12-11,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×沪深300指数,0,0
53,53,62,银华智慧动力,银华基金管理股份有限公司,,Hybrid,2016-04-25,2016-04-25,2018-09-28,2018-09-28,50.0％×中债-总指数+50.0％×中证800指数,886,886
54,54,63,长盛信息主题,长盛基金管理有限公司,钱文礼 朱律 ,Hybrid,2014-07-03,2014-07-03,0000-00-00,0000-00-00,50.0％×中证综合债券指数+50.0％×中证TMT产业主题指数,0,0
55,55,64,大摩稳定增利,摩根士丹利华鑫基金管理有限公司,李轶 ,Bond,2013-06-25,2013-06-25,0000-00-00,0000-00-00,50.0％×一年定期存款利率(税后)+50.0％×两年定期存款利率(税后),0,0
56,56,65,国富焦点,国海富兰克林基金管理有限公司,刘晓 刘怡敏 赵晓东 ,Hybrid,2013-05-07,2013-05-07,0000-00-00,0000-00-00,60.0％×沪深300指数+40.0％×中债-国债总指数-全价指数,0,0
57,57,66,诺安鸿鑫,诺安基金管理有限公司,罗春蕾 ,Hybrid,2019-06-18,2019-06-18,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数,0,0
58,58,67,民生转债A,民生加银基金管理有限公司,邱世磊 ,Bond,2013-04-18,2013-04-18,0000-00-00,0000-00-00,10.0％×沪深300指数+30.0％×中证国债指数+60.0％×中证可转换债券指数,0,0
59,59,68,民生转债C,民生加银基金管理有限公司,邱世磊 ,Bond,2013-04-18,2013-04-18,0000-00-00,0000-00-00,10.0％×沪深300指数+30.0％×中证国债指数+60.0％×中证可转换债券指数,0,0
60,60,69,国投中高债A,国投瑞银基金管理有限公司,宋璐 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,5.0％×中证可转换债券指数+95.0％×中证信用债指数,0,0
61,61,70,国投中高债C,国投瑞银基金管理有限公司,宋璐 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,5.0％×中证可转换债券指数+95.0％×中证信用债指数,0,0
62,62,71,华夏恒生ETF联接A,华夏基金管理有限公司,徐猛 ,QDII,2012-08-21,2012-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×香港恒生指数,0,0
63,63,72,华安稳健,华安基金管理有限公司,舒灏 郑可成 ,Hybrid,2019-06-28,2019-06-28,0000-00-00,0000-00-00,40.0％×中债-总指数+60.0％×沪深300指数,0,0
64,64,73,上投成长,上投摩根基金管理有限公司,刘辉 ,Hybrid,2013-05-15,2013-05-15,0000-00-00,0000-00-00,20.0％×中债-总指数+80.0％×沪深300指数,0,0
65,65,74,工银纯债一年A,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-05-22,2013-05-22,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%,0,0
66,66,75,华夏恒生ETF联接A现汇,华夏基金管理有限公司,徐猛 ,QDII,2012-08-21,2012-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×香港恒生指数,0,0
67,67,76,华夏恒生ETF联接A现钞,华夏基金管理有限公司,徐猛 ,QDII,2012-08-21,2012-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×香港恒生指数,0,0
68,68,77,工银纯债一年C,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-05-22,2013-05-22,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%,0,0
69,69,78,工银信用纯债A,工银瑞信基金管理有限公司,李敏 ,Bond,2013-06-24,2013-06-24,0000-00-00,0000-00-00,100.0％×两年定期存款利率(税后)加1.2%,0,0
70,70,79,工银信用纯债C,工银瑞信基金管理有限公司,李敏 ,Bond,2013-06-24,2013-06-24,0000-00-00,0000-00-00,100.0％×两年定期存款利率(税后)加1.2%,0,0
71,71,80,天治可转债A,天治基金管理有限公司,王洋 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
72,72,81,天治可转债C,天治基金管理有限公司,王洋 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
73,73,82,嘉实研究,嘉实基金管理有限公司,张丹华 张露 ,Stock,2013-05-28,2013-05-28,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×MSCI中国A股指数,0,0
74,74,83,汇添富消费,汇添富基金管理股份有限公司,胡昕炜 ,Hybrid,2013-05-03,2013-05-03,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+40.0％×中证可选消费指数+40.0％×中证主要消费指数,0,0
75,75,84,博时安盈A,博时基金管理有限公司,黄海峰 ,Bond,2013-04-23,2013-04-23,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后),0,0
76,76,85,博时安盈C,博时基金管理有限公司,黄海峰 ,Bond,2013-04-23,2013-04-23,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后),0,0
77,77,86,南方稳利A,南方基金管理股份有限公司,何康 ,Bond,2013-07-23,2013-07-23,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)×1.4,0,0
78,78,87,嘉实中证ETF联接A,嘉实基金管理有限公司,曲扬 王亚洲 ,Bond,2013-05-10,2013-05-10,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证金边中期国债指数,0,0
79,79,88,嘉实中证ETF联接C,嘉实基金管理有限公司,曲扬 王亚洲 ,Bond,2013-05-10,2013-05-10,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证金边中期国债指数,0,0
80,80,89,民生家盈月度A,民生加银基金管理有限公司,李文君 ,Bond,2013-04-25,2013-04-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率,0,0
81,81,90,民生家盈月度B,民生加银基金管理有限公司,李文君 ,Bond,2013-04-25,2013-04-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率,0,0
82,82,91,信诚新双盈,中信保诚基金管理有限公司,杨立春 ,Bond,2013-05-09,2013-05-09,0000-00-00,0000-00-00,100.0％×中证综合债券指数,0,0
83,83,92,信诚新双盈A,中信保诚基金管理有限公司,杨立春 ,Bond,2013-05-09,2013-05-09,0000-00-00,0000-00-00,100.0％×中证综合债券指数,0,0
84,84,93,信诚新双盈B,中信保诚基金管理有限公司,杨立春 ,Bond,2013-05-09,2013-05-09,0000-00-00,0000-00-00,100.0％×中证综合债券指数,0,0
85,85,103,国泰境外高收益,国泰基金管理有限公司,吴向军 ,QDII,2013-04-26,2013-04-26,0000-00-00,0000-00-00,100.0％×摩根大通亚洲债券中国总收益指数,0,0
86,86,104,华宸添利A,华宸未来基金管理有限公司,应晓立 ,Bond,2018-08-24,2018-08-24,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数,0,0
87,87,105,建信安心A,建信基金管理有限责任公司,闫晗 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,100.0％×一年定期存款利率,0,0
88,88,106,建信安心C,建信基金管理有限责任公司,闫晗 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,100.0％×一年定期存款利率,0,0
89,89,107,富国稳健A/B,富国基金管理有限公司,俞晓斌 ,Bond,2016-01-19,2016-01-19,0000-00-00,0000-00-00,10.0％×沪深300指数+90.0％×中债-综合指数-全价指数,0,0
90,90,109,富国稳健C,富国基金管理有限公司,俞晓斌 ,Bond,2016-01-19,2016-01-19,0000-00-00,0000-00-00,10.0％×沪深300指数+90.0％×中债-综合指数-全价指数,0,0
91,91,110,金鹰元安A,金鹰基金管理有限公司,林龙军 杨晓斌 ,Hybrid,2017-06-06,2017-06-06,0000-00-00,0000-00-00,80.0％×中债-总指数+20.0％×沪深300指数,0,0
92,92,111,易方达1年债A,易方达基金管理有限公司,李一硕 ,Bond,2013-07-30,2013-07-30,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%,0,0
93,93,112,易方达1年债C,易方达基金管理有限公司,李一硕 ,Bond,2013-07-30,2013-07-30,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%,0,0
94,94,113,嘉实如意宝A/B,嘉实基金管理有限公司,刘宁 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加0.5%,0,0
95,95,115,嘉实如意宝C,嘉实基金管理有限公司,刘宁 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加0.5%,0,0
96,96,116,嘉实丰益纯债,嘉实基金管理有限公司,曲扬 ,Bond,2013-05-21,2013-05-21,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加0.5%,0,0
97,97,117,广发轮动,广发基金管理有限公司,吴兴武 ,Hybrid,2013-05-28,2013-05-28,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数,0,0
98,98,118,广发聚鑫A,广发基金管理有限公司,张芊 ,Bond,2013-06-05,2013-06-05,0000-00-00,0000-00-00,100.0％×中债-总指数-全价指数,0,0
99,99,119,广发聚鑫C,广发基金管理有限公司,张芊 ,Bond,2013-06-05,2013-06-05,0000-00-00,0000-00-00,100.0％×中债-总指数-全价指数,0,0
100,100,120,中银美丽,中银基金管理有限公司,王伟 严菲 ,Hybrid,2013-06-07,2013-06-07,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中债-综合指数,0,0
101,101,121,华夏永福A,华夏基金管理有限公司,何家琪 ,Hybrid,2013-08-13,2013-08-13,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加2%,0,0
102,102,122,汇添富实业债A,汇添富基金管理股份有限公司,蒋文玲 曾刚 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
103,103,123,汇添富实业债C,汇添富基金管理股份有限公司,蒋文玲 曾刚 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
104,104,124,华宝优选,华宝基金管理有限公司,楼鸿强 ,Hybrid,2013-06-27,2013-06-27,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×中证服务业指数,0,0
105,105,125,上投天颐A,上投摩根基金管理有限公司,,Hybrid,2013-07-18,2013-07-18,2018-11-23,2018-11-23,100.0％×一年定期存款利率(税后)加1%,1954,1954
106,106,126,招商安润,招商基金管理有限公司,尹晓红 钟贇 ,Hybrid,2019-05-14,2019-05-14,0000-00-00,0000-00-00,55.0％×沪深300指数+45.0％×中债-综合指数-全价指数,0,0
107,107,127,农银领先,农银汇理基金管理有限公司,张峰 ,Hybrid,2013-06-25,2013-06-25,0000-00-00,0000-00-00,75.0％×沪深300指数+25.0％×中证全债指数,0,0
108,108,128,大成景安A,大成基金管理有限公司,欧阳亮 ,Bond,2013-05-24,2013-05-24,0000-00-00,0000-00-00,100.0％×中债-短融总指数,0,0
109,109,129,大成景安B,大成基金管理有限公司,欧阳亮 ,Bond,2013-05-24,2013-05-24,0000-00-00,0000-00-00,100.0％×中债-短融总指数,0,0
110,110,130,大成景兴A,大成基金管理有限公司,孙丹 王立 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
111,111,131,大成景兴C,大成基金管理有限公司,孙丹 王立 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
112,112,132,中银21债A,中银基金管理有限公司,,Bond,2013-12-19,2013-12-19,2016-07-19,2016-07-19,100.0％×七天通知存款利率(税后),943,943
113,113,133,中银21债B,中银基金管理有限公司,,Bond,2013-12-19,2013-12-19,2016-07-19,2016-07-19,100.0％×七天通知存款利率(税后),943,943
114,114,134,信诚28日盈A,中信保诚基金管理有限公司,王国强 吴胤希 ,Bond,2017-05-25,2017-05-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后),0,0
115,115,135,信诚28日盈B,中信保诚基金管理有限公司,王国强 吴胤希 ,Bond,2017-05-25,2017-05-25,0000-00-00,0000-00-00,100.0％×活期存款利率(税后),0,0
116,116,136,民生策略,民生加银基金管理有限公司,孙伟 ,Hybrid,2013-06-07,2013-06-07,0000-00-00,0000-00-00,60.0％×沪深300指数+40.0％×中债-国债总指数-全价指数,0,0
117,117,137,民生岁岁增利A,民生加银基金管理有限公司,胡振仓 ,Bond,2013-08-01,2013-08-01,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后),0,0
118,118,138,民生岁岁增利C,民生加银基金管理有限公司,胡振仓 ,Bond,2013-08-01,2013-08-01,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后),0,0
119,119,139,富国企业债A/B,富国基金管理有限公司,王颀亮 张波 ,Bond,2013-09-25,2013-09-25,0000-00-00,0000-00-00,100.0％×中证信用债指数,0,0
120,120,141,富国企业债C,富国基金管理有限公司,王颀亮 张波 ,Bond,2013-09-25,2013-09-25,0000-00-00,0000-00-00,100.0％×中证信用债指数,0,0
121,121,142,融通增强A,融通基金管理有限公司,王超 余志勇 ,Bond,2019-07-16,2019-07-16,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数,0,0
122,122,143,鹏华加利,鹏华基金管理有限公司,王石千 ,Bond,2013-05-27,2013-05-27,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加2%,0,0
123,123,145,长盛季季红A,长盛基金管理有限公司,,Bond,2013-06-14,2013-06-14,2015-07-28,2015-07-28,100.0％×一年定期存款利率(税后),774,774
124,124,146,长盛季季红C,长盛基金管理有限公司,,Bond,2013-06-14,2013-06-14,2015-07-28,2015-07-28,100.0％×一年定期存款利率(税后),774,774
125,125,147,易方达高等债A,易方达基金管理有限公司,胡剑 林森 ,Bond,2013-08-23,2013-08-23,0000-00-00,0000-00-00,100.0％×中债-高信用等级债券指数,0,0
126,126,148,易方达高等债C,易方达基金管理有限公司,胡剑 林森 ,Bond,2013-08-23,2013-08-23,0000-00-00,0000-00-00,100.0％×中债-高信用等级债券指数,0,0
127,127,149,华安双债A,华安基金管理有限公司,贺涛 朱才敏 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,20.0％×中债-国债总指数+40.0％×中债-企业债总指数+40.0％×天相指数转债指数,0,0
128,128,150,华安双债C,华安基金管理有限公司,贺涛 朱才敏 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,20.0％×中债-国债总指数+40.0％×中债-企业债总指数+40.0％×天相指数转债指数,0,0
129,129,151,诺安信用债,诺安基金管理有限公司,,Bond,2013-06-18,2013-06-18,2018-08-21,2018-08-21,40.0％×中证国债指数+60.0％×中证企业债指数,1890,1890
130,130,152,大成景旭A,大成基金管理有限公司,陈会荣 方孝成 ,Bond,2013-07-23,2013-07-23,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
131,131,153,大成景旭C,大成基金管理有限公司,陈会荣 方孝成 ,Bond,2013-07-23,2013-07-23,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
132,132,165,国投策略,国投瑞银基金管理有限公司,吉莉 颜文浩 ,Hybrid,2013-09-27,2013-09-27,0000-00-00,0000-00-00,45.0％×中债-总指数+55.0％×沪深300指数,0,0
133,133,166,中海信息产业,中海基金管理有限公司,刘俊 ,Hybrid,2019-05-15,2019-05-15,0000-00-00,0000-00-00,20.0％×中证全债指数+80.0％×中证TMT产业主题指数,0,0
134,134,167,广发聚优A,广发基金管理有限公司,张东一 ,Hybrid,2013-09-11,2013-09-11,0000-00-00,0000-00-00,50.0％×沪深300指数+50.0％×中证全债指数,0,0
135,135,169,泰达收益A,泰达宏利基金管理有限公司,,Bond,2015-09-09,2015-09-09,2017-10-12,2017-10-12,100.0％×一年定期存款利率(税后)的1.25倍,764,764
136,136,170,泰达收益B,泰达宏利基金管理有限公司,,Bond,2015-09-09,2015-09-09,2017-10-12,2017-10-12,100.0％×一年定期存款利率(税后)的1.25倍,764,764
137,137,171,易方达裕丰,易方达基金管理有限公司,张清华 张雅君 ,Bond,2013-08-23,2013-08-23,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.5%,0,0
138,138,172,华泰增强A,华泰柏瑞基金管理有限公司,田汉卿 ,Hybrid,2013-08-02,2013-08-02,0000-00-00,0000-00-00,95.0％×沪深300指数+2.5％,0,0
139,139,173,汇添富美丽,汇添富基金管理股份有限公司,王栩 ,Hybrid,2013-06-25,2013-06-25,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数,0,0
140,140,174,汇添富高息债A,汇添富基金管理股份有限公司,徐光 ,Bond,2013-06-27,2013-06-27,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
141,141,175,汇添富高息债C,汇添富基金管理股份有限公司,徐光 ,Bond,2013-06-27,2013-06-27,0000-00-00,0000-00-00,100.0％×中债-综合指数,0,0
142,142,176,嘉实300研究,嘉实基金管理有限公司,龙昌伦 ,Stock,2014-12-26,2014-12-26,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×沪深300指数,0,0
143,143,177,嘉实丰益A,嘉实基金管理有限公司,,Bond,2013-08-21,2013-08-21,2018-12-27,2018-12-27,100.0％×一年定期存款收益率(税后)加1.1%,1954,1954
144,144,178,博时灵活A,博时基金管理有限公司,,Hybrid,2013-11-08,2013-11-08,2018-01-23,2018-01-23,40.0％×中债-总指数+60.0％×沪深300指数,1537,1537
145,145,179,广发美国,广发基金管理有限公司,刘杰 ,QDII,2013-08-09,2013-08-09,0000-00-00,0000-00-00,100.0％×人民币计价的MSCI美国REIT净总收益指数,0,0
146,146,180,广发美国美元,广发基金管理有限公司,刘杰 ,QDII,2013-08-09,2013-08-09,0000-00-00,0000-00-00,100.0％×人民币计价的MSCI美国REIT净总收益指数,0,0
