,abbreviation,code,name,name_en,type
4815,YYRYZQA,006092,永赢荣益债券A,YONGYINGRONGYIZHAIQUANA,债券型
4816,YYRYZQC,006093,永赢荣益债券C,YONGYINGRONGYIZHAIQUANC,债券型
4817,YYTYZQA,006094,永赢泰益债券A,YONGYINGTAIYIZHAIQUANA,债券型
4818,YYTYZQC,006095,永赢泰益债券C,YONGYINGTAIYIZHAIQUANC,债券型
4819,ZJZJ6GYDKZ,006096,中金浙金6个月定开债,ZHONGJINZHEJIN6GEYUEDINGKAIZHAI,定开债券
4820,PAGDJZ,006097,平安高等级债,PINGANGAODENGJIZHAI,债券型
4821,HBQSETFLJA,006098,华宝券商ETF联接A,HUABAOQUANSHANGETFLIANJIEA,联接基金
4822,TDHLZLZQ,006099,泰达宏利泽利债券,TAIDAHONGLIZELIZHAIQUAN,定开债券
4823,PAYSCYHHA,006100,平安优势产业混合A,PINGANYOUSHICHANYEHUNHEA,混合型
4824,PAYSCYHHC,006101,平安优势产业混合C,PINGANYOUSHICHANYEHUNHEC,混合型
4825,ZSFLZQZQ,006102,浙商丰利增强债券,ZHESHANGFENGLIZENGQIANGZHAIQUAN,债券型
4826,KSCHYJXHHA,006103,凯石淳行业精选混合A,KAISHICHUNHANGYEJINGXUANHUNHEA,混合型
4827,HTBRLHZHHHC,006104,华泰柏瑞量化智慧混合C,HUATAIBAIRUILIANGHUAZHIHUIHUNHEC,混合型
4828,TDHLYDQDII,006105,泰达宏利印度(QDII),TAIDAHONGLIYINDUQDII,QDII
4829,JSCCLHGGTGP,006106,景顺长城量化港股通股票,JINGSHUNCHANGCHENGLIANGHUAGANGGUTONGGUPIAO,股票型
4830,ZSTL6GYDKZFQSA,006107,招商添利6个月定开债发起式A,ZHAOSHANGTIANLI6GEYUEDINGKAIZHAIFAQISHIA,定开债券
4831,ZSTL6GYDKZFQSC,006108,招商添利6个月定开债发起式C,ZHAOSHANGTIANLI6GEYUEDINGKAIZHAIFAQISHIC,定开债券
4832,FRJZJXHHA,006109,富荣价值精选混合A,FURONGJIAZHIJINGXUANHUNHEA,混合型
4833,FRJZJXHHC,006110,富荣价值精选混合C,FURONGJIAZHIJINGXUANHUNHEC,混合型
4834,TKHS3YDKHH,006111,泰康弘实3月定开混合,TAIKANGHONGSHI3YUEDINGKAIHUNHE,混合型
4835,YFDHHDKZ,006112,易方达恒惠定开债,YIFANGDAHENGHUIDINGKAIZHAI,定开债券
4836,HTFCXYYHH,006113,汇添富创新医药混合,HUITIANFUCHUANGXINYIYAOHUNHE,混合型
4837,RBXLZQA,006114,人保鑫利债券A,RENBAOXINLIZHAIQUANA,债券型
4838,RBXLZQC,006115,人保鑫利债券C,RENBAOXINLIZHAIQUANC,债券型
4839,GTFQCZZQ,006116,国泰丰祺纯债债券,GUOTAIFENGQICHUNZHAIZHAIQUAN,债券型
4840,YHZZYQJGTZETFLJ,006119,银华中证央企结构调整ETF联接,YINHUAZHONGZHENGYANGQIJIEGOUTIAOZHENGETFLIANJIE,联接基金
4841,ZRJMDQKFZQ,006120,中融聚明定期开放债券,ZHONGRONGJUMINGDINGQIKAIFANGZHAIQUAN,定开债券
4842,HASHQDHH,006121,华安双核驱动混合,HUAANSHUANGHEQUDONGHUNHE,混合型
4843,HADTSHHH,006122,华安低碳生活混合,HUAANDITANSHENGHUOHUNHE,混合型
4844,HBXGZXC,006127,华宝香港中小C,HUABAOXIANGGANGZHONGXIAOC,QDII-指数
4845,YHHMSHHH,006128,银河和美生活混合,YINHEHEMEISHENGHUOHUNHE,混合型
4846,HAZZ500DBETFLJA,006129,华安中证500低波ETF联接A,HUAANZHONGZHENG500DIBOETFLIANJIEA,联接基金
4847,HAZZ500DBETFLJC,006130,华安中证500低波ETF联接C,HUAANZHONGZHENG500DIBOETFLIANJIEC,联接基金
4848,HTBRHS300ETFLJC,006131,华泰柏瑞沪深300ETF联接C,HUATAIBAIRUIHUSHEN300ETFLIANJIEC,联接基金
4849,WJZZYSHHA,006132,万家智造优势混合A,WANJIAZHIZAOYOUSHIHUNHEA,混合型
4850,WJZZYSHHC,006133,万家智造优势混合C,WANJIAZHIZAOYOUSHIHUNHEC,混合型
4851,FGJRZZQX,006134,富国金融债债券型,FUGUOJINRONGZHAIZHAIQUANXING,债券型
4852,CJLXDKZ,006135,长江乐鑫定开债,CHANGJIANGLEXINDINGKAIZHAI,定开债券
4853,GFGZYSHH,006136,广发估值优势混合,GUANGFAGUZHIYOUSHIHUNHE,混合型
4854,GFHLDQKFZQ,006137,广发汇立定期开放债券,GUANGFAHUILIDINGQIKAIFANGZHAIQUAN,定开债券
4855,GLAJZYXGP,006138,国联安价值优选股票,GUOLIANANJIAZHIYOUXUANGUPIAO,股票型
4856,GFJJZQA,006140,广发集嘉债券A,GUANGFAJIJIAZHAIQUANA,债券型
4857,GFJJZQC,006141,广发集嘉债券C,GUANGFAJIJIAZHAIQUANC,债券型
4858,XYCLDQKFZQ,006142,鑫元淳利定期开放债券,XINYUANCHUNLIDINGQIKAIFANGZHAIQUAN,定开债券
4859,HSQHZZZLCZA,006143,恒生前海中证质量成长A,HENGSHENGQIANHAIZHONGZHENGZHILIANGCHENGZHANGA,股票指数
4860,HSQHZZZLCZC,006144,恒生前海中证质量成长C,HENGSHENGQIANHAIZHONGZHENGZHILIANGCHENGZHANGC,股票指数
4861,QHKYDXZQA,006145,前海开源鼎欣债券A,QIANHAIKAIYUANDINGXINZHAIQUANA,债券型
4862,QHKYDXZQC,006146,前海开源鼎欣债券C,QIANHAIKAIYUANDINGXINZHAIQUANC,债券型
4863,BYRYKZZZQA,006147,宝盈融源可转债债券A,BAOYINGRONGYUANKEZHUANZHAIZHAIQUANA,债券型
4864,BYRYKZZZQC,006148,宝盈融源可转债债券C,BAOYINGRONGYUANKEZHUANZHAIZHAIQUANC,债券型
4865,NFYY,006149,南方赢元,NANFANGYINGYUAN,债券型
4866,ZSTLLNZQ,006150,招商添利两年债券,ZHAOSHANGTIANLILIANGNIANZHAIQUAN,定开债券
4867,NFJYZQ,006151,南方交元债券,NANFANGJIAOYUANZHAIQUAN,债券型
4868,GLAZXCZA,006152,国联安增鑫纯债A,GUOLIANANZENGXINCHUNZHAIA,债券型
4869,GLAZXCZC,006153,国联安增鑫纯债C,GUOLIANANZENGXINCHUNZHAIC,债券型
4870,HAZZXFHH,006154,华安制造先锋混合,HUAANZHIZAOXIANFENGHUNHE,混合型
4871,XHJYSLHHA,006155,新华家盈双利混合A,XINHUAJIAYINGSHUANGLIHUNHEA,混合型
4872,XHJYSLHHC,006156,新华家盈双利混合C,XINHUAJIAYINGSHUANGLIHUNHEC,混合型
4873,CTLHHXYXHH,006157,财通量化核心优选混合,CAITONGLIANGHUAHEXINYOUXUANHUNHE,混合型
4874,BSRXHBHHA,006158,博时荣享回报混合A,BOSHIRONGXIANGHUIBAOHUNHEA,混合型
4875,BSRXHBHHC,006159,博时荣享回报混合C,BOSHIRONGXIANGHUIBAOHUNHEC,混合型
4876,BDQHHHA,006160,博道启航混合A,BODAOQIHANGHUNHEA,混合型
4877,BDQHHHC,006161,博道启航混合C,BODAOQIHANGHUNHEC,混合型
4878,CTZGJJSYZQE,006162,财通资管积极收益债券E,CAITONGZIGUANJIJISHOUYIZHAIQUANE,债券型
4879,RTZHDKZQFQS,006163,融通增辉定开债券发起式,RONGTONGZENGHUIDINGKAIZHAIQUANFAQISHI,定开债券
4880,RTTJZQ,006164,融通通捷债券,RONGTONGTONGJIEZHAIQUAN,债券型
4881,JXZZ1000ZSZQA,006165,建信中证1000指数增强A,JIANXINZHONGZHENG1000ZHISHUZENGQIANGA,股票指数
4882,JXZZ1000ZSZQC,006166,建信中证1000指数增强C,JIANXINZHONGZHENG1000ZHISHUZENGQIANGC,股票指数
4883,DBLXSHHHA,006167,德邦乐享生活混合A,DEBANGLEXIANGSHENGHUOHUNHEA,混合型
4884,DBLXSHHHC,006168,德邦乐享生活混合C,DEBANGLEXIANGSHENGHUOHUNHEC,混合型
4885,GYRFCZZQA,006169,工银瑞福纯债债券A,GONGYINRUIFUCHUNZHAIZHAIQUANA,债券型
4886,GYRFCZZQC,006170,工银瑞福纯债债券C,GONGYINRUIFUCHUNZHAIZHAIQUANC,债券型
4887,PYCLDQKFZQ,006171,鹏扬淳利定期开放债券,PENGYANGCHUNLIDINGQIKAIFANGZHAIQUAN,定开债券
4888,WJXYCZA,006172,万家鑫悦纯债A,WANJIAXINYUECHUNZHAIA,债券型
4889,WJXYCZC,006173,万家鑫悦纯债C,WANJIAXINYUECHUNZHAIC,债券型
4890,CXWYSGYDKZ,006174,长信稳裕三个月定开债,CHANGXINWENYUSANGEYUEDINGKAIZHAI,定开债券
4891,WJJLHHA,006175,万家聚利混合A,WANJIAJULIHUNHEA,混合型
4892,WJJLHHC,006176,万家聚利混合C,WANJIAJULIHUNHEC,混合型
4893,ZXBCWDA,006177,中信保诚稳达A,ZHONGXINBAOCHENGWENDAA,债券型
4894,ZXBCWDC,006178,中信保诚稳达C,ZHONGXINBAOCHENGWENDAC,债券型
4895,FGPZSHHH,006179,富国品质生活混合,FUGUOPINZHISHENGHUOHUNHE,混合型
4896,ZJYHCZZQ,006180,中加颐合纯债债券,ZHONGJIAYIHECHUNZHAIZHAIQUAN,债券型
4897,GLBRLHPZA,006181,格林伯锐灵活配置A,GELINBORUILINGHUOPEIZHIA,混合型
4898,GLBRLHPZC,006182,格林伯锐灵活配置C,GELINBORUILINGHUOPEIZHIC,混合型
4899,NFZY,006183,南方泽元,NANFANGZEYUAN,债券型
4900,GLHXCZA,006184,格林泓鑫纯债A,GELINHONGXINCHUNZHAIA,债券型
4901,GLHXCZC,006185,格林泓鑫纯债C,GELINHONGXINCHUNZHAIC,债券型
4902,YYYYZQA,006186,永赢盈益债券A,YONGYINGYINGYIZHAIQUANA,债券型
4903,YYYYZQC,006187,永赢盈益债券C,YONGYINGYINGYIZHAIQUANC,债券型
4904,HTBXZYDK,006188,华泰保兴尊颐定开,HUATAIBAOXINGZUNYIDINGKAI,定开债券
4905,GJLHTL,006189,国金量化添利,GUOJINLIANGHUATIANLI,定开债券
4906,QHKYYRHHC,006190,前海开源裕瑞混合C,QIANHAIKAIYUANYURUIHUNHEC,混合型
4907,HXDTZQA,006191,华夏鼎通债券A,HUAXIADINGTONGZHAIQUANA,债券型
4908,HXDTZQC,006192,华夏鼎通债券C,HUAXIADINGTONGZHAIQUANC,债券型
4909,XYHXZCA,006193,鑫元核心资产A,XINYUANHEXINZICHANA,股票型
4910,XYHXZCC,006194,鑫元核心资产C,XINYUANHEXINZICHANC,股票型
4911,GJLHDYZ,006195,国金量化多因子,GUOJINLIANGHUADUOYINZI,股票型
4912,HXZZYQETFLJA,006196,华夏中证央企ETF联接A,HUAXIAZHONGZHENGYANGQIETFLIANJIEA,联接基金
4913,HXZZYQETFLJC,006197,华夏中证央企ETF联接C,HUAXIAZHONGZHENGYANGQIETFLIANJIEC,联接基金
4914,CSTJYJJXHH,006199,长盛同锦研究精选混合,CHANGSHENGTONGJINYANJIUJINGXUANHUNHE,混合型
4915,JSCCLHXFHH,006201,景顺长城量化先锋混合,JINGSHUNCHANGCHENGLIANGHUAXIANFENGHUNHE,混合型
4916,JYHXZCHH,006202,交银核心资产混合,JIAOYINHEXINZICHANHUNHE,混合型
4917,XJQHLHYQCZA,006203,新疆前海联合泳祺纯债A,XINJIANGQIANHAILIANHEYONGQICHUNZHAIA,债券型
4918,XJQHLHYQCZC,006204,新疆前海联合泳祺纯债C,XINJIANGQIANHAILIANHEYONGQICHUNZHAIC,债券型
4919,HTFHGSYSDK,006205,汇添富沪港深优势定开,HUITIANFUHUGANGSHENYOUSHIDINGKAI,混合型
4920,RTZYZQ,006206,融通增悦债券,RONGTONGZENGYUEZHAIQUAN,债券型
4921,TKYTZQA,006207,泰康裕泰债券A,TAIKANGYUTAIZHAIQUANA,债券型
4922,TKYTZQC,006208,泰康裕泰债券C,TAIKANGYUTAIZHAIQUANC,债券型
4923,ZXBCXLCHH,006209,中信保诚新蓝筹混合,ZHONGXINBAOCHENGXINLANCHOUHUNHE,混合型
4924,DFZBCZZQA,006210,东方臻宝纯债债券A,DONGFANGZHENBAOCHUNZHAIZHAIQUANA,债券型
4925,DFZBCZZQC,006211,东方臻宝纯债债券C,DONGFANGZHENBAOCHUNZHAIZHAIQUANC,债券型
4926,DFZXCZZQA,006212,东方臻选纯债债券A,DONGFANGZHENXUANCHUNZHAIZHAIQUANA,债券型
4927,DFZXCZZQC,006213,东方臻选纯债债券C,DONGFANGZHENXUANCHUNZHAIZHAIQUANC,债券型
4928,PA500ETFLJA,006214,平安500ETF联接A,PINGAN500ETFLIANJIEA,联接基金
4929,PA500ETFLJC,006215,平安500ETF联接C,PINGAN500ETFLIANJIEC,联接基金
4930,QHKYJZCZHHA,006216,前海开源价值成长混合A,QIANHAIKAIYUANJIAZHICHENGZHANGHUNHEA,混合型
4931,QHKYJZCZHHC,006217,前海开源价值成长混合C,QIANHAIKAIYUANJIAZHICHENGZHANGHUNHEC,混合型
4932,FGSWYYKJHH,006218,富国生物医药科技混合,FUGUOSHENGWUYIYAOKEJIHUNHE,混合型
4933,HFTDFDKZQ,006219,海富通鼎丰定开债券,HAIFUTONGDINGFENGDINGKAIZHAIQUAN,定开债券
4934,GYSZ50ETFLJA,006220,工银上证50ETF联接A,GONGYINSHANGZHENG50ETFLIANJIEA,联接基金
4935,GYSZ50ETFLJC,006221,工银上证50ETF联接C,GONGYINSHANGZHENG50ETFLIANJIEC,联接基金
4936,PAHXZQ,006222,平安惠兴债券,PINGANHUIXINGZHAIQUAN,债券型
4937,JYCXCZHH,006223,交银创新成长混合,JIAOYINCHUANGXINCHENGZHANGHUNHE,混合型
4938,ZYZZ35NQNFHZQ,006224,中银中债3-5年期农发行债券,ZHONGYINZHONGZHAI35NIANQINONGFAHANGZHAIQUAN,债券指数
4939,RBLHHHA,006225,人保量化混合A,RENBAOLIANGHUAHUNHEA,混合型
4940,RBLHHHC,006226,人保量化混合C,RENBAOLIANGHUAHUNHEC,混合型
4941,HBKJXFHH,006227,华宝科技先锋混合,HUABAOKEJIXIANFENGHUNHE,混合型
4942,ZOYLCXGPA,006228,中欧医疗创新股票A,ZHONGOUYILIAOCHUANGXINGUPIAOA,股票型
4943,ZOYLCXGPC,006229,中欧医疗创新股票C,ZHONGOUYILIAOCHUANGXINGUPIAOC,股票型
4944,PHYJQDHH,006230,鹏华研究驱动混合,PENGHUAYANJIUQUDONGHUNHE,混合型
4945,GRRJHHA,006231,国融融君混合A,GUORONGRONGJUNHUNHEA,混合型
4946,GRRJHHC,006232,国融融君混合C,GUORONGRONGJUNHUNHEC,混合型
4947,DFCZXFZTHH,006235,东方城镇消费主题混合,DONGFANGCHENGZHENXIAOFEIZHUTIHUNHE,混合型
4948,HTBRXDFWHH,006236,华泰柏瑞现代服务混合,HUATAIBAIRUIXIANDAIFUWUHUNHE,混合型
4949,YYJYZQ,006237,永赢嘉益债券,YONGYINGJIAYIZHAIQUAN,债券型
4950,ZRYLJKHHA,006240,中融医疗健康混合A,ZHONGRONGYILIAOJIANKANGHUNHEA,混合型
4951,ZRYLJKHHC,006241,中融医疗健康混合C,ZHONGRONGYILIAOJIANKANGHUNHEC,混合型
4952,BYYRCZZQ,006242,宝盈盈润纯债债券,BAOYINGYINGRUNCHUNZHAIZHAIQUAN,债券型
4953,ZYSXHBHH,006243,中银双息回报混合,ZHONGYINSHUANGXIHUIBAOHUNHE,混合型
4954,JSYL2030HHFOF,006245,嘉实养老2030混合(FOF),JIASHIYANGLAO2030HUNHEFOF,混合-FOF
4955,HXZXBETFLJA,006246,华夏中小板ETF联接A,HUAXIAZHONGXIAOBANETFLIANJIEA,联接基金
4956,HXZXBETFLJC,006247,华夏中小板ETF联接C,HUAXIAZHONGXIAOBANETFLIANJIEC,联接基金
4957,HXCYBETFLJA,006248,华夏创业板ETF联接A,HUAXIACHUANGYEBANETFLIANJIEA,联接基金
4958,HXCYBETFLJC,006249,华夏创业板ETF联接C,HUAXIACHUANGYEBANETFLIANJIEC,联接基金
4959,STMGDLJX,006250,上投摩根动力精选,SHANGTOUMOGENDONGLIJINGXUAN,混合型
4960,YHXSGP,006251,银华兴盛股票,YINHUAXINGSHENGGUPIAO,股票型
4961,YYXFZTA,006252,永赢消费主题A,YONGYINGXIAOFEIZHUTIA,混合型
4962,YYXFZTC,006253,永赢消费主题C,YONGYINGXIAOFEIZHUTIC,混合型
4963,CCJYZQ,006254,长城久悦债券,CHANGCHENGJIUYUEZHAIQUAN,债券型
4964,ZYZZJZHBLHCLA,006255,中邮中证价值回报量化策略A,ZHONGYOUZHONGZHENGJIAZHIHUIBAOLIANGHUACELUEA,股票指数
4965,ZYZZJZHBLHCLC,006256,中邮中证价值回报量化策略C,ZHONGYOUZHONGZHENGJIAZHIHUIBAOLIANGHUACELUEC,股票指数
4966,XDAYXJZZGPX,006257,信达澳银先进智造股票型,XINDAAOYINXIANJINZHIZAOGUPIAOXING,股票型
4967,HCWLWJTLZQC,006258,华宸未来稳健添利债券C,HUACHENWEILAIWENJIANTIANLIZHAIQUANC,债券型
4968,TFHLZZHHA,006259,添富红利增长混合A,TIANFUHONGLIZENGZHANGHUNHEA,混合型
4969,TFHLZZHHC,006260,添富红利增长混合C,TIANFUHONGLIZENGZHANGHUNHEC,混合型
4970,YFDSZCZETFLJC,006262,易方达深证成指ETF联接C,YIFANGDASHENZHENGCHENGZHIETFLIANJIEC,联接基金
4971,YFDXGXXGZSC,006263,易方达香港小型股指数C,YIFANGDAXIANGGANGXIAOXINGGUZHISHUC,QDII-指数
4972,PAHXZQ,006264,平安惠轩债券,PINGANHUIXUANZHAIQUAN,债券型
4973,HTCXXKJGP,006265,红土创新新科技股票,HONGTUCHUANGXINXINKEJIGUPIAO,股票型
4974,YYZNLXHHA,006266,永赢智能领先混合A,YONGYINGZHINENGLINGXIANHUNHEA,混合型
4975,NDLHHXA,006267,诺德量化核心A,NUODELIANGHUAHEXINA,混合型
4976,NDLHHXC,006268,诺德量化核心C,NUODELIANGHUAHEXINC,混合型
4977,YYZNLXHHC,006269,永赢智能领先混合C,YONGYINGZHINENGLINGXIANHUNHEC,混合型
4978,HAHXCZHHA,006270,汇安核心成长混合A,HUIANHEXINCHENGZHANGHUNHEA,混合型
4979,HAHXCZHHC,006271,汇安核心成长混合C,HUIANHEXINCHENGZHANGHUNHEC,混合型
4980,YXYFYYJK,006274,圆信永丰医药健康,YUANXINYONGFENGYIYAOJIANKANG,混合型
4981,YYJYZQA,006275,永赢聚益债券A,YONGYINGJUYIZHAIQUANA,债券型
4982,YYJYZQC,006276,永赢聚益债券C,YONGYINGJUYIZHAIQUANC,债券型
4983,ZJRHA,006277,中金瑞和A,ZHONGJINRUIHEA,混合型
4984,ZJRHC,006278,中金瑞和C,ZHONGJINRUIHEC,混合型
4985,ZJRXA,006279,中金瑞祥A,ZHONGJINRUIXIANGA,混合型
4986,ZJRXC,006280,中金瑞祥C,ZHONGJINRUIXIANGC,混合型
4987,WJRGZNHH,006281,万家人工智能混合,WANJIARENGONGZHINENGHUNHE,混合型
4988,STOZDLQDII,006282,上投欧洲动力(QDII),SHANGTOUOUZHOUDONGLIQDII,QDII
4989,PHMGFDCMYXH,006283,鹏华美国房地产美元现汇,PENGHUAMEIGUOFANGDICHANMEIYUANXIANHUI,QDII
4990,ZSXYSGYDKZFQS,006284,浙商兴永三个月定开债发起式,ZHESHANGXINGYONGSANGEYUEDINGKAIZHAIFAQISHI,定开债券
4991,PHHQFXMYXH,006285,鹏华环球发现美元现汇,PENGHUAHUANQIUFAXIANMEIYUANXIANHUI,QDII
4992,HTMSCIZGAGLJA,006286,华泰MSCI中国A股联接A,HUATAIMSCIZHONGGUOAGULIANJIEA,联接基金
4993,YYSYZQA,006287,永赢盛益债券A,YONGYINGSHENGYIZHAIQUANA,债券型
4994,YYSYZQC,006288,永赢盛益债券C,YONGYINGSHENGYIZHAIQUANC,债券型
4995,HXYL2040FOF,006289,华夏养老2040(FOF),HUAXIAYANGLAO2040FOF,混合-FOF
4996,NFYL2035FOFA,006290,南方养老2035(FOF)A,NANFANGYANGLAO2035FOFA,混合-FOF
4997,NFYL2035FOFC,006291,南方养老2035(FOF)C,NANFANGYANGLAO2035FOFC,混合-FOF
4998,YFDHCYL2043HHFOF,006292,易方达汇诚养老2043混合(FOF),YIFANGDAHUICHENGYANGLAO2043HUNHEFOF,混合-FOF
4999,HTMSCIZGAGLJC,006293,华泰MSCI中国A股联接C,HUATAIMSCIZHONGGUOAGULIANJIEC,联接基金
5000,WJWJYLFOF,006294,万家稳健养老(FOF),WANJIAWENJIANYANGLAOFOF,混合-FOF
5001,GYYL2035FOF,006295,工银养老2035(FOF),GONGYINYANGLAO2035FOF,混合-FOF
5002,PHYL2035HHFOF,006296,鹏华养老2035混合(FOF),PENGHUAYANGLAO2035HUNHEFOF,混合-FOF
5003,FGXWWJYLFOF,006297,富国鑫旺稳健养老(FOF),FUGUOXINWANGWENJIANYANGLAOFOF,混合-FOF
5004,GFWJYLFOF,006298,广发稳健养老(FOF),GUANGFAWENJIANYANGLAOFOF,混合-FOF
5005,HYHXJXHHA,006299,恒越核心精选混合A,HENGYUEHEXINJINGXUANHUNHEA,混合型
5006,HBBFGDJZQA,006300,华宝宝丰高等级债券A,HUABAOBAOFENGGAODENGJIZHAIQUANA,债券型
5007,HBBFGDJZQC,006301,华宝宝丰高等级债券C,HUABAOBAOFENGGAODENGJIZHAIQUANC,债券型
5008,YHHYLDHH,006302,银华行业轮动混合,YINHUAHANGYELUNDONGHUNHE,混合型
5009,ZYYLYNDKFOF,006303,中银养老一年定开(FOF),ZHONGYINYANGLAOYINIANDINGKAIFOF,混合-FOF
5010,ZJYXCZZQ,006304,中加颐鑫纯债债券,ZHONGJIAYIXINCHUNZHAIZHAIQUAN,债券型
5011,YHZHYL2035HHFOF,006305,银华尊和养老2035混合(FOF),YINHUAZUNHEYANGLAO2035HUNHEFOF,混合-FOF
5012,TDHLTHPHYLFOF,006306,泰达宏利泰和平衡养老(FOF),TAIDAHONGLITAIHEPINGHENGYANGLAOFOF,混合-FOF
5013,JSYL2040HHFOF,006307,嘉实养老2040混合(FOF),JIASHIYANGLAO2040HUNHEFOF,混合-FOF
5014,HTFQQXFHHRMBA,006308,汇添富全球消费混合人民币A,HUITIANFUQUANQIUXIAOFEIHUNHERENMINBIA,QDII
5015,HTFQQXFHHRMBC,006309,汇添富全球消费混合人民币C,HUITIANFUQUANQIUXIAOFEIHUNHERENMINBIC,QDII
5016,HTFQQXFHHMYXH,006310,汇添富全球消费混合美元现汇,HUITIANFUQUANQIUXIAOFEIHUNHEMEIYUANXIANHUI,QDII
5017,ZJKZZA,006311,中金可转债A,ZHONGJINKEZHUANZHAIA,债券型
5018,ZJKZZC,006312,中金可转债C,ZHONGJINKEZHUANZHAIC,债券型
5019,HYHXJXHHA,006313,恒越核心精选混合A(后端),HENGYUEHEXINJINGXUANHUNHEA,混合型
5020,ZRCLYXHHA,006314,中融策略优选混合A,ZHONGRONGCELUEYOUXUANHUNHEA,混合型
5021,ZRCLYXHHC,006315,中融策略优选混合C,ZHONGRONGCELUEYOUXUANHUNHEC,混合型
5022,PAHCCZZQ,006316,平安惠诚纯债债券,PINGANHUICHENGCHUNZHAIZHAIQUAN,债券型
5023,YFDARDZA,006319,易方达安瑞短债A,YIFANGDAANRUIDUANZHAIA,债券型
5024,YFDARDZC,006320,易方达安瑞短债C,YIFANGDAANRUIDUANZHAIC,债券型
5025,ZOYJYL2035FOFA,006321,中欧预见养老2035(FOF)A,ZHONGOUYUJIANYANGLAO2035FOFA,混合-FOF
5026,ZOYJYL2035FOFC,006322,中欧预见养老2035(FOF)C,ZHONGOUYUJIANYANGLAO2035FOFC,混合-FOF
5027,HXZYJXHHA,006323,合煦智远嘉选混合A,HEXUZHIYUANJIAXUANHUNHEA,混合型
5028,HXZYJXHHC,006324,合煦智远嘉选混合C,HEXUZHIYUANJIAXUANHUNHEC,混合型
5029,ZSTR3GYDKZA,006325,招商添荣3个月定开债A,ZHAOSHANGTIANRONG3GEYUEDINGKAIZHAIA,定开债券
5030,ZSTR3GYDKZC,006326,招商添荣3个月定开债C,ZHAOSHANGTIANRONG3GEYUEDINGKAIZHAIC,定开债券
5031,YFDZZHWLJRMBA,006327,易方达中证海外联接人民币A,YIFANGDAZHONGZHENGHAIWAILIANJIERENMINBIA,QDII-指数
5032,YFDZZHWLJRMBC,006328,易方达中证海外联接人民币C,YIFANGDAZHONGZHENGHAIWAILIANJIERENMINBIC,QDII-指数
5033,YFDZZHWLJMYA,006329,易方达中证海外联接美元A,YIFANGDAZHONGZHENGHAIWAILIANJIEMEIYUANA,QDII-指数
5034,YFDZZHWLJMYC,006330,易方达中证海外联接美元C,YIFANGDAZHONGZHENGHAIWAILIANJIEMEIYUANC,QDII-指数
5035,ZYGYQYZC,006331,中银国有企业债C,ZHONGYINGUOYOUQIYEZHAIC,债券型
5036,ZSJHZQA,006332,招商金鸿债券A,ZHAOSHANGJINHONGZHAIQUANA,债券型
5037,ZSJHZQC,006333,招商金鸿债券C,ZHAOSHANGJINHONGZHAIQUANC,债券型
5038,HAAPZQA,006337,华安安浦债券A,HUAANANPUZHAIQUANA,债券型
5039,HAAPZQC,006338,华安安浦债券C,HUAANANPUZHAIQUANC,债券型
5040,YHMSCIZGAGLJ,006339,银华MSCI中国A股联接,YINHUAMSCIZHONGGUOAGULIANJIE,联接基金
5041,GTMAZYCZC,006340,国泰民安增益纯债C,GUOTAIMINANZENGYICHUNZHAIC,债券型
5042,ZJMSCIZLA,006341,中金MSCI质量A,ZHONGJINMSCIZHILIANGA,股票指数
5043,ZJMSCIZLC,006342,中金MSCI质量C,ZHONGJINMSCIZHILIANGC,股票指数
5044,ZJMSCIDBDA,006343,中金MSCI低波动A,ZHONGJINMSCIDIBODONGA,股票指数
5045,ZJMSCIDBDC,006344,中金MSCI低波动C,ZHONGJINMSCIDIBODONGC,股票指数
5046,JSCCJYLNDKHH,006345,景顺长城集英两年定开混合,JINGSHUNCHANGCHENGJIYINGLIANGNIANDINGKAIHUNHE,混合型
5047,AXLHYXGPA,006346,安信量化优选股票A,ANXINLIANGHUAYOUXUANGUPIAOA,股票型
5048,AXLHYXGPC,006347,安信量化优选股票C,ANXINLIANGHUAYOUXUANGUPIAOC,股票型
5049,YHSLHHFQS,006348,银华盛利混合发起式,YINHUASHENGLIHUNHEFAQISHI,混合型
5050,ZJMSCIZGAGJZZSA,006349,中金MSCI中国A股价值指数A,ZHONGJINMSCIZHONGGUOAGUJIAZHIZHISHUA,股票指数
5051,ZJMSCIZGAGJZZSC,006350,中金MSCI中国A股价值指数C,ZHONGJINMSCIZHONGGUOAGUJIAZHIZHISHUC,股票指数
5052,ZJMSCIZGAGHLZSA,006351,中金MSCI中国A股红利指数A,ZHONGJINMSCIZHONGGUOAGUHONGLIZHISHUA,股票指数
5053,ZJMSCIZGAGHLZSC,006352,中金MSCI中国A股红利指数C,ZHONGJINMSCIZHONGGUOAGUHONGLIZHISHUC,股票指数
5054,DFHHXYXDKHH,006353,东方红核心优选定开混合,DONGFANGHONGHEXINYOUXUANDINGKAIHUNHE,混合型
5055,HBXGDPC,006355,华宝香港大盘C,HUABAOXIANGGANGDAPANC,股票指数
5056,GRWRZQA,006356,国融稳融债券A,GUORONGWENRONGZHAIQUANA,债券型
5057,GRWRZQC,006357,国融稳融债券C,GUORONGWENRONGZHAIQUANC,债券型
5058,QHLHYSCZA,006358,前海联合泳盛纯债A,QIANHAILIANHEYONGSHENGCHUNZHAIA,债券型
5059,QHLHYSCZC,006359,前海联合泳盛纯债C,QIANHAILIANHEYONGSHENGCHUNZHAIC,债券型
